16:13:01.992 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
17:19:18.211 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:19:18.275 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:5 Actual Value: 5
17:19:19.390 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Question Expected Value:Select a date Actual Value: Select a date
17:19:19.455 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Answer Expected Value:27/09/2023 Actual Value: 27/09/2023
17:19:20.526 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Question Expected Value:Upload file Actual Value: Upload file
17:19:20.581 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Answer Expected Value:D:\\NewFile.txt Actual Value: formshow_27092023_122728.txt
17:19:21.687 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Question Expected Value:Please contact us Actual Value: Please contact us
17:19:21.747 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Answer Expected Value:Message Us Actual Value: formshow_27092023_122728.txt
17:22:50.280 [main] INFO  testCases.TC_004_SF_ResponseValidation - Response Navigation started
17:22:50.313 [main] INFO  testCases.TC_004_SF_ResponseValidation - Excel file Utility instance created
17:22:51.040 [main] INFO  testCases.TC_004_SF_ResponseValidation - Row Count is: 1
17:22:51.114 [main] INFO  testCases.TC_004_SF_ResponseValidation - Col Count is: 47
17:22:51.114 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values started...
17:22:52.493 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values Completed...
17:22:52.493 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigation started
17:22:57.157 [main] INFO  testCases.TC_004_SF_ResponseValidation - Login details Entered
17:22:57.250 [main] INFO  testCases.TC_004_SF_ResponseValidation - Chat bot Logged In
17:23:12.263 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard wait for 15 secs
17:23:16.090 [main] INFO  testCases.TC_004_SF_ResponseValidation - clear all button clicked on listbox
17:23:16.697 [main] INFO  testCases.TC_004_SF_ResponseValidation - Build Name entered in List Box
17:23:19.701 [main] INFO  testCases.TC_004_SF_ResponseValidation - Waited for 3 secs
17:23:19.842 [main] INFO  testCases.TC_004_SF_ResponseValidation - Enter Key applied on ListBox
17:23:20.853 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:23:20.923 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Build button once
17:23:21.935 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:23:22.034 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Result
17:23:22.291 [main] INFO  testCases.TC_004_SF_ResponseValidation - Side Item Response clicked
17:23:22.379 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response
17:23:22.429 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response Again
17:23:25.542 [main] INFO  testCases.TC_004_SF_ResponseValidation - Clicked first Response
17:23:25.542 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
17:23:27.187 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
17:23:28.345 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
17:23:28.434 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
17:23:29.570 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
17:23:29.660 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
17:23:30.806 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
17:23:30.907 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
17:23:32.056 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
17:23:32.138 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
17:23:33.412 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
17:23:33.505 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Answer Expected Value:01:00 PM - 01:29 PM Date : 27/09/2023 Actual Value: Appointment Date : 27/09/2023, Time : [ 01:00 PM to 01:29 PM ]
17:23:34.630 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
17:23:34.714 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Agree,DisAgree Actual Value: Strongly Agree, Agree, DisAgree
17:23:35.849 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
17:23:35.938 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Values Expected Value:Sample Option 1 Actual Value: Sample Option 1
17:23:37.047 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:23:37.131 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
17:23:38.262 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Question Expected Value:Select a range Actual Value: Select a range
17:23:38.360 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Answer Expected Value:50 Actual Value: Rs51/-
17:23:39.483 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Question Expected Value:How was your experience? Actual Value: How was your experience?
17:23:39.571 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Answer Expected Value:Bad Actual Value: Bad
17:23:40.723 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:23:40.819 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:5 Actual Value: 5
17:23:41.957 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Question Expected Value:Select a date Actual Value: Select a date
17:23:42.055 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Answer Expected Value:27/09/2023 Actual Value: 27/09/2023
17:23:43.204 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Question Expected Value:Upload file Actual Value: Upload file
17:23:43.302 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Answer Expected Value:D:\\NewFile.txt Actual Value: formshow_27092023_122728.txt
17:23:44.514 [main] INFO  testCases.TC_004_SF_ResponseValidation - Link Control Question Expected Value:Please contact us Actual Value: Please contact us
17:23:44.587 [main] INFO  testCases.TC_004_SF_ResponseValidation - Link Control Answer Expected Value:Message Us Actual Value: formshow_27092023_122728.txt
17:34:00.258 [main] INFO  testCases.TC_004_SF_ResponseValidation - Response Navigation started
17:34:00.289 [main] INFO  testCases.TC_004_SF_ResponseValidation - Excel file Utility instance created
17:34:01.064 [main] INFO  testCases.TC_004_SF_ResponseValidation - Row Count is: 1
17:34:01.155 [main] INFO  testCases.TC_004_SF_ResponseValidation - Col Count is: 47
17:34:01.155 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values started...
17:34:02.627 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values Completed...
17:34:02.627 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigation started
17:34:07.529 [main] INFO  testCases.TC_004_SF_ResponseValidation - Login details Entered
17:34:07.617 [main] INFO  testCases.TC_004_SF_ResponseValidation - Chat bot Logged In
17:34:22.635 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard wait for 15 secs
17:34:25.575 [main] INFO  testCases.TC_004_SF_ResponseValidation - clear all button clicked on listbox
17:34:26.219 [main] INFO  testCases.TC_004_SF_ResponseValidation - Build Name entered in List Box
17:34:29.233 [main] INFO  testCases.TC_004_SF_ResponseValidation - Waited for 3 secs
17:34:29.328 [main] INFO  testCases.TC_004_SF_ResponseValidation - Enter Key applied on ListBox
17:34:30.382 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:34:30.533 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Build button once
17:34:31.536 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
17:34:31.603 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Result
17:34:31.871 [main] INFO  testCases.TC_004_SF_ResponseValidation - Side Item Response clicked
17:34:31.964 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response
17:34:32.020 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response Again
17:34:35.150 [main] INFO  testCases.TC_004_SF_ResponseValidation - Clicked first Response
17:34:35.150 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
17:34:39.810 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
17:34:40.949 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
17:34:41.071 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
17:34:42.344 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
17:34:42.430 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
17:34:43.567 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
17:34:43.658 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
17:34:44.797 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
17:34:44.887 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
17:34:46.064 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
17:34:46.152 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Answer Expected Value:01:00 PM - 01:29 PM Date : 27/09/2023 Actual Value: Appointment Date : 27/09/2023, Time : [ 01:00 PM to 01:29 PM ]
17:34:47.284 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
17:34:47.369 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Agree,DisAgree Actual Value: Strongly Agree, Agree, DisAgree
17:34:48.515 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Question Expected Value:Type and select your answer..! Actual Value: Type and select your answer..!
17:34:48.596 [main] INFO  testCases.TC_004_SF_ResponseValidation - List Control Values Expected Value:Sample Option 1 Actual Value: Sample Option 1
17:34:49.716 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:34:49.796 [main] INFO  testCases.TC_004_SF_ResponseValidation - Number Control Answer Expected Value:1234567890 Actual Value: 1234567890
17:34:50.893 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Question Expected Value:Select a range Actual Value: Select a range
17:34:50.979 [main] INFO  testCases.TC_004_SF_ResponseValidation - Range Control Answer Expected Value:50 Actual Value: Rs51/-
17:34:52.126 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Question Expected Value:How was your experience? Actual Value: How was your experience?
17:34:52.207 [main] INFO  testCases.TC_004_SF_ResponseValidation - Rating Control Answer Expected Value:Bad Actual Value: Bad
17:34:53.349 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Question Expected Value:Choose a number? Actual Value: Choose a number?
17:34:53.438 [main] INFO  testCases.TC_004_SF_ResponseValidation - Opinion Scale Control Answer Expected Value:5 Actual Value: 5
17:34:54.550 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Question Expected Value:Select a date Actual Value: Select a date
17:34:54.632 [main] INFO  testCases.TC_004_SF_ResponseValidation - Date Control Answer Expected Value:27/09/2023 Actual Value: 27/09/2023
17:34:55.800 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Question Expected Value:Upload file Actual Value: Upload file
17:34:55.917 [main] INFO  testCases.TC_004_SF_ResponseValidation - FileUpload Control Answer Expected Value:D:\\NewFile.txt Actual Value: formshow_27092023_122728.txt
17:34:57.133 [main] INFO  testCases.TC_004_SF_ResponseValidation - Link Control Question Expected Value:Please contact us Actual Value: Please contact us
17:34:57.215 [main] INFO  testCases.TC_004_SF_ResponseValidation - Link Control Answer Expected Value:Message Us Actual Value: 
17:34:58.321 [main] INFO  testCases.TC_004_SF_ResponseValidation - Thank You Control Question Expected Value:Nice chatting with you Actual Value: Nice chatting with you
17:34:59.471 [main] INFO  testCases.TC_004_SF_ResponseValidation - Picture Message Control Question Expected Value:Type and select your answer..! 1 Actual Value: Type and select your answer..! 1
17:34:59.555 [main] INFO  testCases.TC_004_SF_ResponseValidation - Picture Message Control Question Expected Value:PictureMessage Actual Value: PictureMessage
17:35:00.694 [main] INFO  testCases.TC_004_SF_ResponseValidation - Picture Message Control Question Expected Value:Type and select your answer..! 1 Actual Value: Type and select your answer..! 1
17:35:00.798 [main] INFO  testCases.TC_004_SF_ResponseValidation - Picture Message Control Question Expected Value:PictureMessage Actual Value: PictureMessage
17:35:01.926 [main] INFO  testCases.TC_004_SF_ResponseValidation - Yes or No Control Question Expected Value:Select Yes or No..? Actual Value: Select Yes or No..?
17:35:02.010 [main] INFO  testCases.TC_004_SF_ResponseValidation - Yes or No Control Question Expected Value:Yes Actual Value: Yes
